INPUT:text	OUTPUT:category	CONFIDENCE:category	
Разглядывая их под микроскопом , мы увидим привычные нам шестеренки и валы , цилиндры и поршни , пружины и клапаны , зеркала и микросхемы .	[4]	100.00%	
Иногда талантливые люди , не найдя себя в науке и не в силах выдержать экономический стресс , уходят из археологии в бизнес и промышленность .	[4]	100.00%	
Кандидаты в депутаты от общественных организаций в свою очередь также должны иметь в своей программе как общие , так и специфические направления депутатской деятельности .	[6]	100.00%	
"Главное , чтобы "" социальные лифты "" не останавливались и чтобы шанс в них пробиться был не только у тех , кто умудрился родиться в "" нужной "" семье ."	[6]	100.00%	
Франция признает российских студентов и не признает российские дипломы .	[2]	100.00%	
Об этом сообщили в понедельник в пресс-службе администрации области .	[1]	100.00%	
С тех пор я в этом кабинете не появлялся .	[1]	100.00%	
Этот роман как раз и должен родиться на стыке .	[1]	100.00%	
Деревянный стол и две простые деревянные лавки в углу .	[1]	100.00%	
"Поэтому православной интеллигенции не может быть в природе "" …"	[2]	100.00%	
"Я позову ее кататься на лодке и утоплю "" ."	[1]	100.00%	
Он хранил у себя дома потрясающую коллекцию репродукций , которую собирал не только в московских библиотеках , вырезая их из редких книг , но и в домах своих друзей .	[5]	100.00%	
Маски являлись необходимостью во многих сферах жизни - на праздниках и священных обрядах , во время войны и охоты и даже в судебных процессиях .	[4]	100.00%	
В реальности учитель использует все эти роли в разных ситуациях и в разной мере .	[3]	100.00%	
Это где-то между наукой и искусством , и описать эту грань методологически очень сложно .	[4]	100.00%	
В таких условиях и здоровому человеку было выжить непросто , а больные и раненые люди умирали десятками в день .	[3]	100.00%	
При этом в дипломе все оценки не обязательно должны быть отличными и даже хорошими .	[2]	100.00%	
"Поэтому в последнее время в мире было создано новое поколение моделей общей циркуляции атмосферы и океана , в большей степени учитывающих океанические процессы "" ."	[6]	100.00%	
Осуждали меня и Николай Иванович , и Мери Михайловна .	[1]	100.00%	
Горячее прессование освоили еще в прошлом веке , и этот способ обработки металлов потеснил традиционные - ковку и штамповку .	[4]	100.00%	
Из этого путем неоправданной экстраполяции мы сделали вывод , что в принципе можем понять все и будем проникать в тайны мироздания до бесконечности , по крайней мере до тех пор , пока существуем сами .	[7]	100.00%	
Дело в том , что в тот давний день , когда мы возделывали пустырь , один из ребят обратил внимание остальных на то , как я держу носилки , на которых мы перетаскивали землю .	[5]	100.00%	
Хаос в экономике , которым воспользовались самые жадные и беспринципные , превратившие чуть ли не всех остальных в бедных .	[4]	100.00%	
Ниже нас по фронту были траншеи и ходы сообщения стрелковых подразделений и огневые точки с пулеметами и противотанковыми ружьями .	[5]	100.00%	
Местные художники , вывезенные в метрополию , и там обученные уже как чисто западные живописцы , графики и скульпторы .	[5]	100.00%	
Мы кое-что понимаем теперь и в Русском мире - настоящем , а не вымышленном .	[2]	100.00%	
Когда она наконец пришла и он увидал близко ее лицо и фигуру , он просто сказал : - Ну-ну !	[7]	100.00%	
Меня гортанно и резко окликнули и приказали покинуть сад .	[2]	100.00%	
В последние годы произошло ужесточение этого законодательства , в том числе в связи с будущим вступлением России в ВТО .	[4]	100.00%	
Затем абитуриент отключает на своем мобильнике звук и вибрацию и бесстрашно оставляет его на столе преподавателя или даже за дверью аудитории - как потребуют .	[5]	100.00%	
Потом Татьяна провалилась в сон и очнулась уже засветло .	[2]	100.00%	
Это вопросы не к ЕГЭ как таковому , а к качеству преподавания истории и литературы в российских школах вообще .	[3]	100.00%	
Потом два года службы в ракетных войсках стратегического назначения , работа на гражданке и счастливый брак длиною в 20 лет , в котором у мужчины родились мальчик и девочка .	[6]	100.00%	
В его маленькой двухкомнатной квартирке было неприбрано , видно было , что у него не хватает времени для уборки , и на газовой плите в кухне стояли невымытые кастрюльки .	[6]	100.00%	
И исполнительную власть , и _ законодательную , и бизнес , и судебную власть .	[4]	100.00%	
"Генерал-майор Сергеев убедительно попросил автолюбителей "" не вклиниваться в колонны "" и дать военным возможность беспрепятственно выбраться с баз и потом вернуться на них ."	[7]	100.00%	
Эта тема в другой связи обсуждается и несколько ниже .	[3]	100.00%	
Они шли с увала на увал и видели иногда сверху деревни с белыми крышами .	[3]	100.00%	
Так у них , у обличителей и у наблюдателей , создается иллюзия того , что они и в самом деле служат чему-то более высокому .	[6]	100.00%	
Сознание , которое тысячелетиями живет само по себе , без подкормки и подпитки , не стирается и не ржавеет - это же вечный двигатель .	[5]	99.99%	
С этого самого дня , так остро запомнившегося Гаянэ и совершенно забытого Викторией , в Гаянэ проснулась необыкновенная чуткость ко всему темному и тревожному .	[6]	100.00%	
Поэтому , если внимательно посмотреть на этот процесс и зарегистрировать от него вспышку электромагнитного излучения , то можно , расшифровав эту вспышку , кое-что узнать и про сам процесс .	[5]	100.00%	
Научная фантастика , как известно , предлагает и такие пессимистические сценарии , в которых вытеснение рутинного , малоинтеллектуального и тяжелого труда часто сопровождается вытеснением человека из сферы труда вообще .	[7]	100.00%	
Только с декабря 1986 г. по март 1987 г. им получено без оплаты продовольственных заказов на 2800 рублей , в том числе коньяка и вина - на 1400 рублей .	[4]	100.00%	
В том числе , в области гиперзвукового оружия и оружия на новых физических принципах .	[3]	100.00%	
Законы СССР и правовые акты органов государственной власти и управления СССР действуют на территории Литовской ССР лишь после их утверждения Верховным Советом Литовской ССР и регистрации в установленном порядке .	[7]	100.00%	
Хотя защищаться , в сущности , и не собирался .	[3]	100.00%	
