fragment,textbook-assigned cefr level
"Весной, летом и осенью почти каждую субботу он играет в футбол. У них в школе есть футбольная команда. А зимой он играет в хоккей. Ещё мы любим театр.",1
"Все говорят, что мама хорошая хозяйка. А ещё наша мама любит театр. Она часто смотрит спектакли в театре, а иногда по телевизору. Бабушка смотрит телевизор каждый день.",1
"На каждой двери красные плакаты и красные фонари. На Новый год мы покупаем даже красную одежду. Это очень старая традиция. Если в доме всё красное, год будет счастливый.",1
"Я считаю деньги, в час обедаю в кафе, а потом снова работаю. Вечером я играю в теннис в парке. Там гуляют дети и иногда один поэт.",1
"Магазин «Чёрный квадрат» открывается в 9 часов утра. Каждый день я езжу на работу на машине. Моя работа трудная, но очень интересная. После работы я обычно отдыхаю в кафе.",1
"Вечером она идёт пешком в салон красоты, а потом едет на машине во французский ресторан. В ресторане её ждёт друг.",1
"Ещё он изучает русский язык, потому что его жена говорит по-русски. Она любит кино и театр. Марк тоже любит театр, но абсолютно не смотрит телевизор.",1
"В комнате висит красивая люстра, около стены стоит диван-кровать, шкаф и компьютерный стол. А на стене висит фотография. На фотографии наша семья!",1
"Во время ужина они обсуждают последние новости, а после ужина едут в джаз-клуб. В 23:00 Анастасия едет домой. Дома она пьёт чай и идёт спать.",1
Это Саманта и Джон. Они студенты-иностранцы. В Санкт-Петербурге они изучают русский язык. Сейчас урок. Преподавательница читает текст. Она читает текст громко и медленно. В классе очень тихо.,1
"Обычно вечером я смотрю телевизор. Но теперь я изучаю русский язык, поэтому вчера я не смотрела телевизор, как обычно, а учила глаголы. Но сегодня я их не помню! Это катастрофа!",1
"На столе стоит холодная закуска и холодные блюда. Сначала русские люди провожают старый год, а после полуночи встречают Новый год.",1
"Мода — это большая и важная индустрия, люди много говорят и думают о ней, а наша одежда очень много говорит о нас.",1
"Иногда мы вместе пьём чай в её маленькой гостиной и разговариваем о нашей жизни и о нашем любимом городе. Часто мы слышим, как играет на пианино сосед Николь. Он музыкант.",1
Я пью чай или капучино и ем мороженое. По вечерам я изучаю английский язык или играю на гитаре.,1
